CustomerKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;City;StateProvinceCode;StateProvinceName;CountryRegionCode;CountryRegionName;PostalCode;SalesTerritoryKey;Phone;DateFirstPurchase;CommuteDistance
11000;;Jon;V;Yang;FALSE;08/04/1966;M;M;jon24@adventure-works.com;90000;2;0;Bachelors;Professional;1;0;3761 N. 14th St;;Rockhampton;QLD;Queensland;AU;Australia;4700;9;1 (11) 500 555-0162;22/07/2005;1-2 Miles
11001;;Eugene;L;Huang;FALSE;14/05/1965;S;M;eugene10@adventure-works.com;60000;3;3;Bachelors;Professional;0;1;2243 W St.;;Seaford;VIC;Victoria;AU;Australia;3198;9;1 (11) 500 555-0110;18/07/2005;0-1 Miles
11002;;Ruben;;Torres;FALSE;12/08/1965;M;M;ruben35@adventure-works.com;60000;3;3;Bachelors;Professional;1;1;5844 Linden Land;;Hobart;TAS;Tasmania;AU;Australia;7001;9;1 (11) 500 555-0184;10/07/2005;2-5 Miles
11003;;Christy;;Zhu;FALSE;15/02/1968;S;F;christy12@adventure-works.com;70000;0;0;Bachelors;Professional;0;1;1825 Village Pl.;;North Ryde;NSW;New South Wales;AU;Australia;2113;9;1 (11) 500 555-0162;01/07/2005;5-10 Miles
11004;;Elizabeth;;Johnson;FALSE;08/08/1968;S;F;elizabeth5@adventure-works.com;80000;5;5;Bachelors;Professional;1;4;7553 Harness Circle;;Wollongong;NSW;New South Wales;AU;Australia;2500;9;1 (11) 500 555-0131;26/07/2005;1-2 Miles
11005;;Julio;;Ruiz;FALSE;05/08/1965;S;M;julio1@adventure-works.com;70000;0;0;Bachelors;Professional;1;1;7305 Humphrey Drive;;East Brisbane;QLD;Queensland;AU;Australia;4169;9;1 (11) 500 555-0151;02/07/2005;5-10 Miles
11006;;Janet;G;Alvarez;FALSE;06/12/1965;S;F;janet9@adventure-works.com;70000;0;0;Bachelors;Professional;1;1;2612 Berry Dr;;Matraville;NSW;New South Wales;AU;Australia;2036;9;1 (11) 500 555-0184;27/07/2005;5-10 Miles
11007;;Marco;;Mehta;FALSE;09/05/1964;M;M;marco14@adventure-works.com;60000;3;3;Bachelors;Professional;1;2;942 Brook Street;;Warrnambool;VIC;Victoria;AU;Australia;3280;9;1 (11) 500 555-0126;12/07/2005;0-1 Miles
11008;;Rob;;Verhoff;FALSE;07/07/1964;S;F;rob4@adventure-works.com;60000;4;4;Bachelors;Professional;1;3;624 Peabody Road;;Bendigo;VIC;Victoria;AU;Australia;3550;9;1 (11) 500 555-0164;28/07/2005;10+ Miles
11009;;Shannon;C;Carlson;FALSE;01/04/1964;S;M;shannon38@adventure-works.com;70000;0;0;Bachelors;Professional;0;1;3839 Northgate Road;;Hervey Bay;QLD;Queensland;AU;Australia;4655;9;1 (11) 500 555-0110;30/07/2005;5-10 Miles
11010;;Jacquelyn;C;Suarez;FALSE;06/02/1964;S;F;jacquelyn20@adventure-works.com;70000;0;0;Bachelors;Professional;0;1;7800 Corrinne Court;;East Brisbane;QLD;Queensland;AU;Australia;4169;9;1 (11) 500 555-0169;17/07/2005;5-10 Miles
11011;;Curtis;;Lu;FALSE;04/11/1963;M;M;curtis9@adventure-works.com;60000;4;4;Bachelors;Professional;1;4;1224 Shoenic;;East Brisbane;QLD;Queensland;AU;Australia;4169;9;1 (11) 500 555-0117;02/07/2005;10+ Miles
11012;;Lauren;M;Walker;FALSE;18/01/1968;M;F;lauren41@adventure-works.com;100000;2;0;Bachelors;Management;1;2;4785 Scott Street;;Bremerton;WA;Washington;US;United States;98312;1;717-555-0164;17/09/2007;1-2 Miles
11013;;Ian;M;Jenkins;FALSE;06/08/1968;M;M;ian47@adventure-works.com;100000;2;0;Bachelors;Management;1;3;7902 Hudson Ave.;;Lebanon;OR;Oregon;US;United States;97355;1;817-555-0185;15/10/2007;0-1 Miles
11014;;Sydney;;Bennett;FALSE;09/05/1968;S;F;sydney23@adventure-works.com;100000;3;0;Bachelors;Management;0;3;9011 Tank Drive;;Redmond;WA;Washington;US;United States;98052;1;431-555-0156;24/09/2007;1-2 Miles
11015;;Chloe;;Young;FALSE;27/02/1979;S;F;chloe23@adventure-works.com;30000;0;0;Partial College;Skilled Manual;0;1;244 Willow Pass Road;;Burbank;CA;California;US;United States;91502;4;208-555-0142;22/07/2007;5-10 Miles
11016;;Wyatt;L;Hill;FALSE;28/04/1979;M;M;wyatt32@adventure-works.com;30000;0;0;Partial College;Skilled Manual;1;1;9666 Northridge Ct.;;Imperial Beach;CA;California;US;United States;91932;4;135-555-0171;13/08/2007;5-10 Miles
11017;;Shannon;;Wang;FALSE;26/06/1944;S;F;shannon1@adventure-works.com;20000;4;0;High School;Skilled Manual;1;2;7330 Saddlehill Lane;;Sunbury;VIC;Victoria;AU;Australia;3429;9;1 (11) 500 555-0195;15/07/2005;5-10 Miles
